Using Hasura: http://localhost:8080/v1/graphql

== CrosschainMessage: Match Rate per Protocol per Route (sorted by % matched) ==
- layerzero:blast->base: total=49, matched=0 (0.00%)
- layerzero:ethereum->vana: total=49, matched=0 (0.00%)
- layerzero:optimism->sonic: total=36, matched=0 (0.00%)
- layerzero:taiko->base: total=44, matched=0 (0.00%)
- layerzero:base->mantapacific: total=20, matched=0 (0.00%)
- layerzero:swell->ethereum: total=125, matched=0 (0.00%)
- layerzero:ton->ethereum: total=64, matched=0 (0.00%)
- layerzero:story->optimism: total=32, matched=0 (0.00%)
- layerzero:sonic->optimism: total=46, matched=0 (0.00%)
- layerzero:taiko->optimism: total=25, matched=0 (0.00%)
- layerzero:superposition->optimism: total=23, matched=0 (0.00%)
- layerzero:optimism->solana: total=85, matched=0 (0.00%)
- layerzero:optimism->avalanche: total=141, matched=0 (0.00%)
- layerzero:optimism->fraxtal: total=19, matched=0 (0.00%)
- layerzero:optimism->iota: total=16, matched=0 (0.00%)
- layerzero:optimism->hemi: total=136, matched=0 (0.00%)
- layerzero:metis->optimism: total=47, matched=0 (0.00%)
- layerzero:cronos->optimism: total=11, matched=0 (0.00%)
- layerzero:ape->optimism: total=17, matched=0 (0.00%)
- layerzero:base->plume: total=1429, matched=0 (0.00%)
- layerzero:telos->optimism: total=15, matched=0 (0.00%)
- layerzero:kaia->optimism: total=22, matched=0 (0.00%)
- layerzero:fuse->optimism: total=37, matched=0 (0.00%)
- layerzero:vana->optimism: total=19, matched=0 (0.00%)
- layerzero:optimism->lyra: total=6, matched=0 (0.00%)
- layerzero:aurora->optimism: total=10, matched=0 (0.00%)
- across:optimism->lens: total=37, matched=0 (0.00%)
- layerzero:coredao->optimism: total=46, matched=0 (0.00%)
- layerzero:botanix->optimism: total=9, matched=0 (0.00%)
- layerzero:lyra->optimism: total=3, matched=0 (0.00%)
- layerzero:kava->optimism: total=26, matched=0 (0.00%)
- across:zora->optimism: total=21, matched=0 (0.00%)
- across:optimism->blast: total=16, matched=0 (0.00%)
- layerzero:cyber->optimism: total=213, matched=0 (0.00%)
- layerzero:optimism->flare: total=60, matched=0 (0.00%)
- layerzero:optimism->lightlink: total=46, matched=0 (0.00%)
- layerzero:optimism->evmonflow: total=13, matched=0 (0.00%)
- layerzero:optimism->nibiru: total=22, matched=0 (0.00%)
- layerzero:optimism->xdc: total=46, matched=0 (0.00%)
- layerzero:optimism->metis: total=17, matched=0 (0.00%)
- layerzero:glue->optimism: total=11, matched=0 (0.00%)
- layerzero:optimism->story: total=27, matched=0 (0.00%)
- across:unknown->optimism: total=13, matched=0 (0.00%)
- layerzero:optimism->glue: total=14, matched=0 (0.00%)
- layerzero:optimism->unknown: total=23, matched=0 (0.00%)
- layerzero:optimism->cyber: total=91, matched=0 (0.00%)
- layerzero:soneium->ink: total=64, matched=0 (0.00%)
- across:unichain->ink: total=6085, matched=0 (0.00%)
- across:ink->unichain: total=5856, matched=0 (0.00%)
- layerzero:ink->plume: total=24, matched=0 (0.00%)
- layerzero:hyperevm->ink: total=84, matched=0 (0.00%)
- layerzero:ink->sei: total=3, matched=0 (0.00%)
- layerzero:avalanche->arbitrum: total=377, matched=0 (0.00%)
- layerzero:flare->ink: total=11, matched=0 (0.00%)
- layerzero:sonic->arbitrum: total=846, matched=0 (0.00%)
- across:bsc->arbitrum: total=1008, matched=0 (0.00%)
- layerzero:mantle->ink: total=9, matched=0 (0.00%)
- layerzero:degen->base: total=36, matched=0 (0.00%)
- layerzero:lyra->arbitrum: total=35, matched=0 (0.00%)
- across:ink->soneium: total=173, matched=0 (0.00%)
- layerzero:ink->berachain: total=73, matched=0 (0.00%)
- layerzero:unichain->ink: total=180, matched=0 (0.00%)
- layerzero:berachain->ink: total=18, matched=0 (0.00%)
- layerzero:ink->unichain: total=220, matched=0 (0.00%)
- layerzero:superposition->ink: total=11, matched=0 (0.00%)
- layerzero:mantle->base: total=577, matched=0 (0.00%)
- layerzero:fuse->base: total=38, matched=0 (0.00%)
- layerzero:ink->hyperevm: total=155, matched=0 (0.00%)
- across:soneium->ink: total=118, matched=0 (0.00%)
- layerzero:ink->rari: total=11, matched=0 (0.00%)
- layerzero:rari->ink: total=6, matched=0 (0.00%)
- layerzero:ink->avalanche: total=11, matched=0 (0.00%)
- layerzero:avalanche->ink: total=30, matched=0 (0.00%)
- across:unichain->arbitrum: total=1064, matched=0 (0.00%)
- layerzero:ink->mantle: total=1, matched=0 (0.00%)
- layerzero:arbitrum->sonic: total=460, matched=0 (0.00%)
- layerzero:bsc->arbitrum: total=1460, matched=0 (0.00%)
- layerzero:arbitrum->dexalot: total=397, matched=0 (0.00%)
- layerzero:arbitrum->abstract: total=504, matched=0 (0.00%)
- layerzero:gravity->ink: total=6, matched=0 (0.00%)
- layerzero:arbitrum->sei: total=361, matched=0 (0.00%)
- layerzero:arbitrum->hyperevm: total=1111, matched=0 (0.00%)
- layerzero:mantle->arbitrum: total=487, matched=0 (0.00%)
- layerzero:sonic->ink: total=5, matched=0 (0.00%)
- across:worldchain->ink: total=38, matched=0 (0.00%)
- layerzero:arbitrum->gravity: total=2117, matched=0 (0.00%)
- layerzero:flare->arbitrum: total=251, matched=0 (0.00%)
- across:ink->polygon: total=12, matched=0 (0.00%)
- across:lens->ink: total=10, matched=0 (0.00%)
- layerzero:celo->ethereum: total=25, matched=0 (0.00%)
- across:arbitrum->worldchain: total=124, matched=0 (0.00%)
- layerzero:arbitrum->story: total=87, matched=0 (0.00%)
- layerzero:arbitrum->unichain: total=516, matched=0 (0.00%)
- layerzero:plume->ink: total=18, matched=0 (0.00%)
- across:mode->ink: total=18, matched=0 (0.00%)
- across:ink->lisk: total=71, matched=0 (0.00%)
- across:lisk->ink: total=90, matched=0 (0.00%)
- across:ink->worldchain: total=27, matched=0 (0.00%)
- layerzero:ink->bsc: total=17, matched=0 (0.00%)
- layerzero:story->arbitrum: total=159, matched=0 (0.00%)
- across:polygon->arbitrum: total=1178, matched=0 (0.00%)
- layerzero:arbitrum->orderly: total=1589, matched=0 (0.00%)
- layerzero:ink->abstract: total=14, matched=0 (0.00%)
- across:arbitrum->unichain: total=560, matched=0 (0.00%)
- layerzero:ink->rootstock: total=8, matched=0 (0.00%)
- layerzero:arbitrum->solana: total=62, matched=0 (0.00%)
- layerzero:sei->ink: total=6, matched=0 (0.00%)
- layerzero:bsc->ink: total=4, matched=0 (0.00%)
- across:mode->arbitrum: total=155, matched=0 (0.00%)
- layerzero:plume->arbitrum: total=436, matched=0 (0.00%)
- layerzero:fraxtal->ink: total=4, matched=0 (0.00%)
- layerzero:ink->fraxtal: total=4, matched=0 (0.00%)
- layerzero:ink->soneium: total=27, matched=0 (0.00%)
- across:arbitrum->mode: total=14, matched=0 (0.00%)
- layerzero:kaia->ink: total=3, matched=0 (0.00%)
- layerzero:arbitrum->polygon: total=303, matched=0 (0.00%)
- layerzero:arbitrum->bsc: total=1132, matched=0 (0.00%)
- across:ink->mode: total=26, matched=0 (0.00%)
